Optimal PV: 300.00 kW
Optimal Battery: 760.68 kWh
Optimal DG: 93.49 kW
Cost: 59423.00
LPSP: 0.0277
RE Share: 97.23%
TABLE 6 — PSO Iteration History:
| Iter  | f-count | Best f(x)    | Mean f(x)    | Stall |
|-------|---------|--------------|--------------|-------|
| 1     | 50      | 0.0000       | 0.9600       | 0     |
| 2     | 75      | 0.0000       | 1.0000       | 1     |
| 3     | 100     | 0.0000       | 0.8000       | 2     |
| 4     | 125     | 0.0000       | 0.5600       | 3     |
| 5     | 150     | 0.0000       | 0.4000       | 4     |
| 6     | 175     | 0.0000       | 0.3600       | 5     |
| 7     | 200     | 0.0000       | 0.3600       | 6     |
| 8     | 225     | 0.0000       | 0.2400       | 7     |
| 9     | 250     | 0.0000       | 0.2800       | 8     |
| 10    | 275     | 0.0000       | 0.2400       | 9     |
| 11    | 300     | 0.0000       | 0.2400       | 10    |
| 12    | 325     | 0.0000       | 0.2400       | 11    |
| 13    | 350     | 0.0000       | 0.2400       | 12    |
| 14    | 375     | 0.0000       | 0.2000       | 13    |
| 15    | 400     | 0.0000       | 0.2000       | 14    |
| 16    | 425     | 0.0000       | 0.2000       | 15    |
| 17    | 450     | 0.0000       | 0.2000       | 16    |
| 18    | 475     | 0.0000       | 0.2000       | 17    |
| 19    | 500     | 0.0000       | 0.2000       | 18    |
| 20    | 525     | 0.0000       | 0.2000       | 19    |
| 21    | 550     | 0.0000       | 0.1600       | 20    |
